ID,CUSTOMER_NAME,STORE_NAME,AMOUNT,TRANSACTION_DATE,STATUS
1,Amleto Rastelli,Briccialdi SPA,1723,2018-09-13,Undisputed
2,Livia Rastelli,Panzera SPA,1016,2015-10-04,Undisputed
3,Alessia Saraceno,Interminelli s.r.l.,1866,2011-11-08,Undisputed
4,Simone Lussu,Garozzo-Mondaini s.r.l.,1638,2015-11-06,Undisputed
5,Alphons Trevisan,Spinola-Torricelli e figli,1738,2016-05-23,Disputed
6,Angelo Geraci,"Altera, Argenti e Ruberto SPA",1647,2014-04-15,Undisputed
7,Sonia Galilei,Boitani-Viviani e figli,1793,2021-07-07,Undisputed
8,Aria Majewski,Guarana e figli,1206,2021-04-21,Disputed
9,Adriana Maspero,Brunello-Boiardo s.r.l.,1005,2012-07-28,Undisputed
10,Greco Sgalambro,"Roero, Donati e Casaleggio Group",1283,2020-08-24,Undisputed
11,Antonino Pertini,Sauro-Bertoni s.r.l.,1237,2019-02-24,Undisputed
12,Stefano Milanesi,Fabrizi s.r.l.,1924,2019-07-06,Undisputed
13,Ferdinando Abba,Necci-Barillaro Group,1049,2012-10-18,Undisputed
14,Marisa Interminei,Fittipaldi s.r.l.,1657,2016-07-14,Disputed
15,Nicoletta Blasi,Nicolini-Boitani SPA,1107,2015-05-04,Undisputed
16,Nanni Sauli,"Lerner, Comencini e Toso e figli",1039,2013-08-06,Undisputed
17,Milo Sagnelli,Traversa-Catalano SPA,1046,2017-08-01,Undisputed
18,Bettina Innocenti,"Mazzocchi, Agnesi e Natta s.r.l.",1508,2014-04-27,Undisputed
19,Margherita Dellucci,Biagi-Gualtieri s.r.l.,1093,2019-02-08,Undisputed
20,Alderano Bianchini,Pertini SPA,1477,2011-11-13,Disputed
21,Antonino Taliani,Cuomo s.r.l.,1732,2012-10-27,Undisputed
22,Valerio Vitturi,Paltrinieri e figli,1331,2012-07-25,Undisputed
23,Daniele Bragadin,Cabibbo-Errani s.r.l.,1189,2013-05-11,Undisputed
24,Renata Cassarà,Leoncavallo-Bevilacqua Group,1290,2017-05-01,Disputed
25,Matilda Rossellini,"Pietrangeli, Duse e Sgalambro SPA",1878,2015-06-13,Disputed
26,Liliana Chechi,"Maffei, Speri e Bonino Group",1887,2011-10-29,Disputed
27,Arnulfo Pizziol,Beccheria-Giusti e figli,1771,2018-05-13,Disputed
28,Fulvio Leoncavallo,Gualandi SPA,1352,2013-12-15,Undisputed
29,Camillo Ferrata,Scandone-Saffi s.r.l.,1147,2012-04-26,Undisputed
30,Jolanda Sauro,Benussi SPA,1064,2016-02-26,Undisputed
31,Uberto Giulietti,Fattori-Cagnin SPA,1118,2016-12-27,Undisputed
32,Ezio Donarelli,"Marzorati, Gasperi e Moresi e figli",1926,2020-03-27,Disputed
33,Roberto Nitto,Marenzio-Ferrata e figli,1859,2014-11-27,Disputed
34,Gianna Pisaroni,Garibaldi Group,1310,2016-10-12,Disputed
